,Sentence,Label
1042,Bu cesaretleriniz nereden geliyor hala þaþkýným,"surpriz"
1043,Biriniz yüzünden hepinize duvarlar ördüm. uzgunüm.,"uzgun"
1044,russian roulette albümünü açýnca oynamadan duramýyorum çok komik,"mutlu"
1045,Oha kime yazdýn sen bunu oðlum þaþtým kaldým enfes yazmýþsýn ,"surpriz"
1046,Hesabýn çok güzel icon bio hepsini beðendim,"mutlu"
1047,Çamlýca Televizyon Radyo Kulesi inþaatýnda korkunç ölüm! 220 metre yükseklikten aþaðýya düþtü,"korku"
1048,Biz arýzalýyýz zannederken Ayarsýzlarý gördükçe Hayretler içindeyiz ...,"surpriz"
1049,haha vallahi çok güldüm gece gece ya,"mutlu"
1050,Hayret bu sene 10 Kasým da kimse hasta olmadý,"surpriz"
1051,Ben kendimle savaþýrken senin kazanman bana da biraz sürpriz oldu.,"surpriz"
1052,Þüphesiz ölüm korkunç bir þeydir.,"korku"
1053,Allah'ým ne güzel bir sürpriz bu saatte gelen bu böyle ,"surpriz"
1054,Birkaç patlama gibi bahsedilmiþ endiþelendim ben de.,"korku"
1055,Yine yandý yürekler yine ateþ düþtü ocaklara daha ne kadar ne zamana kadar aðlayacak bu analar ,"uzgun"
1056,Ya inanmýyorum ya zaman ne çabuk geçiyor bu kadar hýzlý geçmek zorunda mý,"surpriz"
1057,Saçlarýmý Madelaine gibi turuncu yapýcaðým için fazla sevinçliyim ,"mutlu"
1058,"Korkuyorum, belki yarýn geç olur? Geleceksen eðer bir gün önce gelsene... ","korku"
1059,bugün seni göremeyeceðim için çok endiþelendim kuzum,"korku"
1060,"Çok yoruldum, hüzün uyutmuyor. ","uzgun"
1061,Sabah 05:30 da kabus görürken depremle uyanýnca ne olduðumu anlamadým yok böyle korku (ama deprem gerçekti),"korku"
1062,Kimler kimlerle canlý yayýn yapýyor þaþtým kaldým,"surpriz"
1063,Rüyalarýmda yaþamak vardý o kadar güzeller ki ,"mutlu"
1064,Aklýma korku filmlerindeki ranza sahneleri geldi sanki biri arkamda beni izliyormuþ gibi ürktüm.,"korku"
1065,"Dün neydi öyle ya, cavs kaybedecek diye ödüm koptu.","korku"
1066,Özledim diyorsun mektubunda. Sadece kuru bir özledim mi yazdý yanýk yüreðin. ,"uzgun"
1067,Vize haftasýna girdim þu an daða taþa havadaki oksijene her þeye sinirliyim,"kizgin"
1068,Aþýrý yýprandým tükendim yýldým býktým,"uzgun"
1069,Bazý insanlara kuþ beyinli dediðim zaman kuþlara hakaret ettiðimi düþünüyorum. ,"kizgin"
1070,Kitap okumayý özledim..,"uzgun"
1071,Fatih Tekke'ye muazzam sürpriz oldu ,"surpriz"
1072,"Olacaðý varsa oluyor ya hani, biteceði varsa da bitsin, yoruldum.'","uzgun"
1073,Okulu bitirmeye bir gram umudum kalmadý.,"uzgun"
1074,Ýçimdeki kini üzerinize kusmak istiyorum ya çok aþýrý sinirliyim,"kizgin"
1075,Film eðlenceli dediler ama ben sadece iki kere güldüm. :D,"mutlu"
1076,Bende hata yaptým piþman mýyým evet piþmaným,"uzgun"
1077,Artýk pantolon almaya korkuyorum rengi giderse diye,"korku"
1078,"Böyle dekolte görmemiþtim, ben þok!","surpriz"
1079,Beklemekten yoruldum artýk nefesim tükeniyor...,"uzgun"
1080,Hayvanlarý tahmin edemeyeceðiniz kadar çok seviyorum. Haddinden fazla. Çok çok fazla. ,"mutlu"
1081,Haftaya çarþamba kýbrýsa gidiyorum çok sevinçliyim,"mutlu"
1082,Beni sana unutturan herþeye o kadar öfkeliyim ki,"kizgin"
1083,Ankara'da metro sabaha kadar deðilmiþ 1 kadarmýþ çok sevindim.,"mutlu"
1084,"Biraz da sen gayret et bizim için, inan ben çok yoruldum.","uzgun"
1085,Hesaplamalarýma göre düzenli sporu býraktýðýmdan beri mutsuzum,"uzgun"
1086,Herþey tamý tamýna bir saniye sürdü. Önce þiddetli bir sarsýntý hemen arkasýndan ürkütücü bir patlama sesi. Saða sola koþuþturan insanlar... ,"korku"
1087,Þu insanlarýn kapýlarýnýn önünden geçerken eve girecekmiþ gibi geçmeyin kapýyý bir açtým korktum ,"korku"
1088,Bu gece birilerine salça olmazsam kafayý yiyeceðim habersiz gidenler sinirimi bozuyor,"kizgin"
1089,Bir bakireden beklenmeyen sürpriz kaltaklýk,"surpriz"
1090,Doðum günün kutlu olsun nice senelere :)),"mutlu"
1091,Cem Korkmaz intihar etmesi neredeyse imkansýz bir adam hayret ettim.,"surpriz"
1092,"Evet , 10 senelik misafir yarým günde geldi. Þaþtým kaldým sonra ben þok","surpriz"
1093,Bütün iþyerlerinin üniformasý olsun hergün ne giycem diye düþünmekten bezdim,"uzgun"
1094,Sabah sabah Çok Güldüm Ellerine saðlýk emeði geçenlerin ,"mutlu"
1095,Artýk gerçekten çok sýkýldým ya bana biriniz yardým etsin of,"uzgun"
1096,Sinir oluyorum kendime. Yine kötü olan herþeyi unuttum. ,"kizgin"
1097,Biri habeþ maymunu diye sövmüþ aþýrý güldüm,"mutlu"
1098,"Bana fotoðraf atmýþ. Soðursun belki yazmýþ. Gerizekalý, bir insanýn tipi yüzünden deðil yaptýðý hareketler yüzünden soðurum.","kizgin"
1099,Artýk kýsa cevaplar ve terslemelerden çok sýkýldým sürekli ayný replikler boðuyor ,"uzgun"
1100,Ýþlerden nasýl bunaldým belli deðil,"uzgun"
1101,Seni bu kadar kolay silmem açýkcasý bana da sürpriz oldu .,"surpriz"
1102,Nazlý þu an sana aðýr küfürler etmek istiyorum,"kizgin"
1103,Kokoreç yerken bile caným yanýyor çok mutsuzum,"uzgun"
1104,Bugün de eþimle gittim iyi ki gitmiþim hem eðlendim hem güldüm ,"mutlu"
1105,"Kendinizi olduðunuzdan fazla göstermeyin zira epey komik duruyor. ""Seneye de giyersin"" pantolonlarý gibisiniz.","mutlu"
1106,Zorla gezmeye götürülüyorum aðlayacaðým,"uzgun"
1107,Hayret bu cuma akrabalar wp cuma mesajlarý ile kutsamadýlar þaþýrdým,"surpriz"
1108,"Günlerden bir gün dar, derin, karanlýk Evka sokaklarýnda dolaþýrken bir ýslýk duydum. Biraz irkildim çünkü gecenin bu saatinden sonra","korku"
1109,çok sinirliyim ama size deðil belki de bir köpeðe bile olabilir,"kizgin"
1110,Her þey çok güzel geldi bu hafta bence Haftaya da iyi izlenecek.,"mutlu"
1111,Ben ne ara bu kadar agresif oldum ya utanmasam uykumda küfredeceðim,"kizgin"
1112,Hala aramamýþ olman da çok sinir bozucu,"kizgin"
1113,Betül Demir mal mýsýn klibine gerçek hayattan uyarlanmýþtýr yazýyorsun,"kizgin"
1114,Anlaþýlmýyor yazdýklarým anlaþýlmýyor kafayý yiyeceðim,"kizgin"
1115,"ABD, hala yasal olan bireysel silahlanma ve yine facia bu kez Texas'ta bir kilise, onlarca ölü, toplum olarak ödenen bedel.","korku"
1116,Acý çeken birisinin intihar etmesi rüyada korkunç bir kabus gören kiþinin aniden uyanmasýna benzer,"korku"
1117,Ne olacak bu takýmýn hali vallahi býktým ya tükendim,"uzgun"
1118,Ve nezakete nezaketle karþýlýk verilmesine alýþýk deðiliz ya..bulduðumda epey sevindim,"mutlu"
1119,Evde on tane çocuk var kafayý yiyeceðim kafalarýný duvara falan vuruyolar,"kizgin"
1120,Þaþkýnlýk verici; insanlarýn hiç þaþýrtmamasý,"surpriz"
1121,"Bunun gerçek olabilme ihtimali korkunç, eðer gerçekse çok daha korkunç ","korku"
1122,"Nasýl unuttum ama seni, ben bile hayret ettim.","surpriz"
1123,Hayat bugün eðlenceli þimdi çarþý zamaný kardeþimin tweettere atmak istediði tweetmiþ ,"mutlu"
1124,"Telefonumu düþürüp, ekranýný çatlattým. Mutsuzum...","uzgun"
1125,Geçen sene þu zamanlar uðruna öleceðim insanlar þuan hayatýmda yok gayet mutluyum teþekkür ederim,"mutlu"
1126,Þu an gerçekten tam bir sinir küpüyüm,"kizgin"
1127,Ya yine muazzam bir çizim yaptým harikayým,"mutlu"
1128,bilgilerin en fazla 10 puan eksik olduðu sýnav kaðýdýmdan nasýl 67 alabiliyorum amk býktým senden ,"uzgun"
1129,Gerçekten benzemesi feci tadýmý kaçýrdý ama güldüm ,"mutlu"
1130,Ya yine gördüm resmini bir kötü oldum,"uzgun"
1131,"Ürkütücü bir sesti, yakýnlarýmda bir patlama sanki, Allah'ým sen esirge","korku"
1132,Þehitlerimiz var. Çok uzgunüm. Allah makamýna erdirsin. Milletimizin baþý saðolsun.,"uzgun"
1133,Can Manay eski sevgilisinin gözüne kezzap mý dökmüþ kafayý yiyeceðim,"kizgin"
1134,"Beyin bedava iken, gerizekalý olmak ciddi bir yetenek iþidir... ","kizgin"
1135,Son görülme saatin endiþe verici rakamlara ulaþtý.,"korku"
1136,"Sevenler Ölüme bile birlikte yürürler, çünkü ölüm bile ayrýlýktan daha korkunç deðildir.","korku"
1137,Quaresma falan penaltý attý bu takýmda Talisca atmadý ona ben de hayret ettim.,"surpriz"
1138,Yanlýþlýkla birini takip ettim hemen geri aldým çok korkunçtu,"korku"
1139,Geceleri uyayabilmeyi gündüzleri ise doðru düzgü uyanabilmeyi özledim.,"uzgun"
1140,Allah belaný versin tudor cehennemde yan. nerden geldin baþýmýza kardeþim,"kizgin"
1141,Bu sitede çok komik insanlar var çok eðleniyorum :D ,"mutlu"
1142,Neler oldu ben þok ben iptal,"surpriz"
1143,"Empati kurayým dedim, kendime aþýk oldum.","mutlu"
1144,Götümün kenarýndaki triplere bak. Sanki atomu parçaladý gerizekalý,"kizgin"
1145,Her þeyi yýktýktan sonra hiçbir þey yapmamýþ gibi davranan insanlardan nefret ediyorum.,"kizgin"
1146,Of Kütahyada çok bunaldým Ankaraya gideyim de biraz deniz havasý alayým,"uzgun"
1147,mesajýma cevap vermeyip tweet atan insanlara sinir oluyorum delireceðim bir gün,"kizgin"
1148,"timeline bildiðin boþ sokak gibi, bakýnca endiþelendim adeta.","korku"
1149,Ne çok gerizekalý insan var bu sitede hepsi o kötü atlara binip defolup gitse keþke,"kizgin"
1150,Benle alakasý olamayan her þeye sinirleniyorum benle alakasý olanlara zaten sinirleniyordum. Galiba menapoz,"kizgin"
1151,Caným benim sürpriz yapmak istedi ama Nuranýn yalanýný bilmiyor ki ,"surpriz"
1152,Hayatýmýn ilk travmasý çok küçükken evde tek baþýma korku filmi izlememdi,"korku"
1153,hava soðuk diye çamaþýrlarý evin içine astýk. ödüm koptu pelerinli bir þey geziyor evde sandým bornozmuþ,"korku"
1154,Hayat bilgisi izleyip aðlýyorum. Psikolojimin farkýnda mýsýnýz?,"uzgun"
1155,dün pantene altýn kelebekte en güzel kadýnlar arasýnda bence aybüke vardý çok beðendim ben açýkçasý,"mutlu"
1156,ilkokulda tahtaya ismim yazýldýðýnda çok korkardým ,"korku"
1157,Lütfen defol git þu þehirden burasý senin pisliðine göre fazla temiz ,"kizgin"
1158,Çok mutsuzum diye aðlamak istiyorum,"uzgun"
1159,Türkiyede diziler neden 2 saat ya vallahi bezdim artýk izlemiyorum alýn dizinizi baþýnýza çalýn,"uzgun"
1160,Kavisli kaþ fobim var kaþlarý aðrý daðý gibi olan insanlara bakamýyorum,"korku"
1161,Belki bizim kaderimiz mutsuz olmaktý ,"uzgun"
1162,Fizik çözüyor oluþum da epey þaþýrtýcý,"surpriz"
1163,Oðlum bir çikolata kutusu keþfettim içinde tüm markalar var hangisini yiyeceðimi þaþýrdým,"surpriz"
1164,Banyo yapýp dots ost dinleyeceðim çok özledim,"uzgun"
1165,l ve ll dediðim soru yanlýz lll çýktý uzgunüm,"uzgun"
1166,Yok böyle bir gol vallahi dondum kaldým,"surpriz"
1167,Prison Break 6. Sezon çýkýyormuþ muazzam sevinçliyim þu an,"mutlu"
1168,"Ne yani, böylesine korkunç bir dünyanýn birde cehennemi mi var?","korku"
1169,Twit atarken az samimi olun yapmacýk þeyler okumaktan sýkýldým artýk,"uzgun"
1170,"Ýlginiz için teþekkür eder, en kýsa zamanda sonuca ulaþmasýný temenni ederim. ","mutlu"
1171,Ýçimde öldürdüðüm kiþiyi karþýmda görmek ürkütücü açýkçasý ,"korku"
1172,Seni seviyorum zeynep sana burdan aþkýmý itiraf ediyorum,"mutlu"
1173,Artýk be diyebilirim ki kelimelerimden de önce tükendim.,"uzgun"
1174,Uludað’a aþýk oldum. Bence o da bana karþý boþ deðil,"mutlu"
1175,Tüm haftasonunu gece gündüz yatarak geçirdim pazarteside ayný eyleme devam etmek mutluluk verici ,"mutlu"
1176,Dünya sulak alanlar günü kutlu olsun,"mutlu"
1177,Öfkeliyim sana tüm yaptýklarýna ve yapamadýklarýna bu defa tamam diyorum bitti ama ben neden senin blanýk fotoðrafýný bile silemiyorum,"kizgin"
1178,nasýl yaðmur yaðýyor vallahi ama acayip gök gürlüyor korkuyorum ,"korku"
1179,Kubilay Tüfekçi; 'Podyum bizim için sürpriz oldu',"surpriz"
1180,Gelecek kaygýsý bir defol git artýk bu saatte bile sýkboðaz ediyosun insaný,"kizgin"
1181,ÝmPARAtor Fatih Terim ilk 2 yýl derbi istatistiði o zamanda derbi kazanamýyor diye yollamamýþlar hayret ,"surpriz"
1182,evet genelde öfkeliyim çünkü çok ayýp ettiler bana,"kizgin"
1183,Saçma sapan hatalar yapýyoruz ya þimdiye fark en az 10 sayýydý !,"kizgin"
1184,galiba þu koskoca tatilde bir bu akþam eðlendim,"mutlu"
1185,Balkona maket hýrsýz yapmýþlar adam kendini asmýþ sandým ödüm koptu niye bunu yaptýnýz,"korku"
1186,Denzel Washingtonin JohnQ filmi muhteþem hayatýmýzýn deðerini bilmeli ve her an öleceðimizi bilmek ve halimize þükretmemiz lazým ,"mutlu"
1187,"uzgunüm be baba ,inan bende istemezdim böyle olsun ,","uzgun"
1188,Çok kötü bir kabus gördüm çok korktum,"korku"
1189,"Kitap, kahve, polar üçlüsünü seviyorum","mutlu"
1190,Karþýmdakine ne kadar deðer verirsem o kadar sinirleniyorum yaptýðý yanlýþlara,"kizgin"
1191,"Yabancý gazete ve televizyonlarýn manþet haberlerine bakýnca biz bu ülkede nasýl yaþýyoruz , hayret ettim gerçekten ... . !","surpriz"
1192,Yine çok sinirli ve agresifim keþke aðzýmdan ateþ çýksa da rahatlasam,"kizgin"
1193,Bu aralar agresifim kompleksliyim ama perdelerimi kaldýrdýðýmda kedi gibi bir insaným,"kizgin"
1194,Bu son gecem yarýn gidiyorum iki sene oldu halbuki neden bu kadar uzgunüm anlayamýyorum,"uzgun"
1195,Ýspanya attý haha adamsýnýz adam,"mutlu"
1196,"Yine güzel bir çay içemedim, agresifim","kizgin"
1197,"Hepinize sevgiler, saygýlar, teþekkür ederim","mutlu"
1198,bu seneki eðlencem yaz dizilerindeki genç oyuncularla yaþlarýmýzýn yakýn olduðunu görüp ne para kazanýyolar ha bu yaþta diye düþünmek ,"mutlu"
1199,Altýn gibi deðerlenmiþ sonradan þaþýrtýcý :)),"surpriz"
1200,"Oyunun en eðlenceli kýsmýna geldik, sonu deðiþtiriyorum :) artýk ben gülücem","mutlu"
1201,Eray lütfen artýk defol git ya býktýk senden tarýkdan defol yaa defol,"kizgin"
1202,Kübraya bir kýzýn fondotensiz halini attým oha bu bildiðin badana yapýyormuþ þu an þoktayým diyor ,"surpriz"
1203,Onca çektiðim sýkýntýdan sonra . Hiç kimsenin acýsý açýkcasý umrumda deðil .,"uzgun"
1204,"Bir tren camýndan dünyayý gördüm, haline üzüldüm.","uzgun"
1205,Ben de tozlarý üflerken bir irkildim,"korku"
1206,Evde muzik son ses ve ben harika hissediyorum :D,"mutlu"
1207,lise sýralarýnda tuðçeyle 500mb internetinden fi izlemeyi özledim be,"uzgun"
1208,Mecidiyeköy'de kendimi þýmarttým resmen harika hissediyorum :),"mutlu"
1209,birþey söyleyeceðim diyip 10 saat sonra yazanlara sinir oluyorum,"kizgin"
1210,"sen terkettin, sen çaðýrdýn. sen kýrdýn, sen sitem ettin ama hala ben kötüyüm.","uzgun"
1211,beni aramandan mý korkuyorum yoksa hiç aramayacaðýndan mý,"korku"
1212,Bir toplumun kötüde ve kötülükte birleþmesi ürkütücü.,"korku"
1213,Ben niye bu kadar agresif oldum ya kimseye katlanamýyorum,"kizgin"
1214,Bazý hisleri tek taraflý yaþadýðým için kýrgýným.,"uzgun"
1215,Müezzinden 1 saat önce uyandýðým þu hayata kýrgýn ve kizginým,"kizgin"
1216,Akþam gittiðim bir mekanda tam 12 tane kýza aþýk oldum..,"mutlu"
1217,Neden bu kadar güldüm bilmiyorum ama komik,"mutlu"
1218,Sema bana görüldü yapmýþ bende ona engel atarak minik bir sürpriz yaptým,"surpriz"
1219,Benim bu çocuklara olan aþkým ne olcak yahu,"mutlu"
1220,Git gide tahammülsüz bir insan oluyorum sürekli sinirliyim galiba ruh hastasý oluyorum yavaþtan,"kizgin"
1221,"kendimi uzgun hissediyorum, sanki tüm dünya’ya kýrgýným.","uzgun"
1222,Allah uyuz versin de týrnak vermesin nasýl bir bedduadýr ya þaþtým kaldým,"surpriz"
1223,"Ýlk baklava kim götürür diyorduk, doktorlar sürpriz oldu tabi... ","surpriz"
1224,Ben þok olmuþtum gidemez diye aðlamýþtým ya inanmýyorum,"surpriz"
1225,Köylü müsünüz nesiniz ya sinirlendim,"kizgin"
1226,"Deprem mi gök gürültüsü mü bu karar veremedim, ürktüm","korku"
1227,Aaa sevgilim gelmiþ. Konuþ sevgilim ,"surpriz"
1228,Evime tablo almýþtým 3 tane çogzel ama çerçeveleri kýrýk geldi iade ettim çok beðenerek almýþtým mutsuzum :(,"uzgun"
1229,Hayret tarkan yolla fotoðrafý görmedim altýnda þaþtým,"surpriz"
1230,Bayadýr Ados dinleyemedim kendime kizginým,"kizgin"
1231,Rüyada annemin öldüðünü görünce yanýna gidip mýncýra mýncýra seviyorum. Çok korkunç. Ya gerçek olsa !!,"korku"
1232,Kapýnýn önüne geldim. Bir anda ödüm koptu oda korktu ama býrakýr mýyým,"korku"
1233,Ne demek yürürken mesaj atamýyorum mal mýsýn,"kizgin"
1234,"Ders çalýþýrken yan apartmandan bir ölüm haberiyle irkildim, Azrail bu kadar yakýnýmýza geliyorken bu neyin kibri, tavrý? ","korku"
1235,Soyisimlerinizi kullanarak bir yerlere gelmenize aþýrý kizginým,"kizgin"
1236,Yine patlama ve yine yanýbaþýmda.. Sesi bile ürkütücü..,"korku"
1237,artýk o kadar herþeye sinirleniyorum ki kendi saçýmý baþýmý yolmamak için kendimi zor tutuyorum,"kizgin"
1238,Ýlk defa karþýdan karþýya geçerken bir araç yol verdi. O kadar alýþkýn deðilim ki dondum kaldým bir sonra þoku atlatýnca geçebildim,"surpriz"
1239,Yapraksýz aðaçlarý görünce üzülüyorum öylede bir ruh halim var,"uzgun"
1240,Ya oturdum sýkýntýdan nat geo da ahmak bilimini izliyorum kim daha kötü tartýþmayalým isterseniz,"uzgun"
1241,Ucuz parfüm kokusunun baþ aðrýsý yapmasý kadar sinir bozucu bir þey olamaz.,"kizgin"
1242,Ben evlenene kadar gelinlik modasý geçicek diye çok korkuyorum,"korku"
1243,Yakýn geleceði merak etmekten yoruldum bu bir hafta geçmez artýk,"uzgun"
1244,Anlayýþlý taklidi yapmaktan býktým toplu katliam yapýcam o olucak,"uzgun"
1245,Bir toplumun kötüde ve kötülükte birleþmesi ürkütücü.,"korku"
1246,Nasýlsýnýz arkadaþlar ben harika hissediyorum çünkü evden yeni çýkýyorum,"mutlu"
1247,Söylediðim hiçbirþey için piþman deðilim sizi insan yerine koyduðum için piþmaným...,"uzgun"
1248,Ülke gerizekalý dolu e hal böyle olunca artýk bütün zekasýzlar beni buluyor diye isyanda edemez olduk.,"kizgin"
1249,Rüyamda e devlete giriþ yapabilmiþtim Rum asýllý olduðumu öðrenmiþtim kabus gibiydi ya var mý þu siteye girebilen,"korku"
1250,Genelde doðru seçimler yapamayan birisiyim ama senin hayatýmýn en doðru kararýymýþ gibi duruþunu seviyorum,"mutlu"
1251,20 milyon rupi Babanýn kasasýnda yaþasýn BABA,"mutlu"
1252,Çok tatlý duruyordun dayanamadým öptüm,"mutlu"
1253,Ýsmimi söyleyemeyenler çok komik oluyor çok hoþuma gidiyor,"mutlu"
1254,O kadar çok korktum ki kaybetmekten sonuç olarak kaybettim,"korku"
1255,Kendi mutsuzluðunu görmemek için dert dinleyenlere de üzülüyorum. Biraz cesaret..,"uzgun"
1256,Vurun daha ölmedim diye baðýracaðým þimdi,"kizgin"
1257,Her an cümlem yarýda kalacakmýþ gibi geliyor. Yeni bir fobi türü olsa gerek... ,"korku"
1258,Netimi saçma sapan þeylere harcýyorum,"kizgin"
1259,10 saat sonra son sýnavýmdan da kurtulup sosyal hayatýma geri döneceðim için sevinçliyim,"mutlu"
1260,Ýtalyan spiker çok komik anlatýyor Napoli - City maçýný,"mutlu"
1261,Rezil bir rüya gördüm ve bugün 19u. Biraz ürktüm... ,"korku"
1262,Orta sahada Hasan Ali oynuyor ciddi olamazsýn Aykut hoca,"surpriz"
1263,Güzel haberi duydum yaþasýn Nuriye ve Semih ve haklý direniþleri.,"mutlu"
1264,Olaylara iyi tarafýndan bakmaya baþladým o yüzden bir iki haftadýr mutluyum bakalým yine kim bozacak,"mutlu"
1265,biz yazdýk diye rapor alýrsa þaþýrtýcý olmaz tabi,"surpriz"
1266,Hakaret ediyormuþum sinirinden geçilmiyor. Sen bana ne yaptýn farkýnda mýsýn!,"kizgin"
1267,Sensizlikten ödüm koptu bir daha yapmam uslu dururum,"korku"
1268,bugün çok güldüm elmacýklarým acýyor,"mutlu"
1269,"uzgun"üm seni üzdüm ama çok piþmaným sayende az yaþarmadý gözüm ama düþman deðilim,"uzgun"
1270,Saðdakiler trafiðin en akýllý ve en pratik insanlarý ya bizim nasýl aklýmýza gelmiyor hiç oradan gitmek gerçekten hayret edici bir olay ,"surpriz"
1271,Abi bütten geçmiþim fizikten geçmiþim ellemeyin beni çok mutluyum,"mutlu"
1272,Sen kimsin ki kedilere hayvan diyorsun ya inanmýyorum sensin o,"surpriz"
1273,Hayat seni bazen nerelere sürüklüyor hayret ediyorsun.,"surpriz"
1274,Yarýn görüþüyoruz çok heyecanlýyým,"mutlu"
1275,Ezhel dinlerken bile aðlýyorum ruh halim tam olarak bu,"uzgun"
1276,Ölüm mü bu yoksa araftamýyým özgür bu her ne ise yaþamaktan daha korkunç,"korku"
1277,"Baþým aðrýyor ve açlýktan bayýlmak üzereyim, mutsuzum","uzgun"
1278,"Karakter varya herkeste, Sanýrým ben de var, Dolaylý anlatýmlardan nefret ediyor ve kale almýyorum.","kizgin"
1279,kim bu tweetine adýný yazmayan gerizekalý gelsin alsýn,"kizgin"
1280,Ýlk defa biri benden bütün gün oyun oynadýðým için ayrýldý ben þok ,"surpriz"
1281,Herkes güçlü olmamý bekliyor ama ben gerçekten tükendim,"uzgun"
1282,"Þeffaf adam gördüm þaþkýna döndüm , dünyanýn en þeffaf insaný benim sanýyordum ben þok","surpriz"
1283,"Lens de gol attý, yandýk, bu hafta derbiye kadar çekilmez ama derbiden sonra eðlence var :)","mutlu"
1284,Vallahi bende bu kadar sabrlý birisi olduðumu bilmiyordum bana da sürpriz oldu. Bugün anladým.,"surpriz"
1285,Bugün çok güldüm inþallah acýsý yarýnki vizeden çýkmaz,"mutlu"
1286,Þu okulda bir þeyler kaybetmekten sýkýldým artýk Okul okul deðil kara delik sanki ,"uzgun"
1287,Yeter buradan çok sýkýldým artýk,"uzgun"
1288,Beni kendinden nasýl soðuttun ya hayret ettim,"surpriz"
1289,Kar mý yaðýyor ciddi olamazsýn!!,"surpriz"
1290,Harikaydý çok güldüm hatta yarýldým emeðinize saðlýk,"mutlu"
1291,Ýnsanlara hayret ediyorum ama 1 dakika sonra geçiyor.,"surpriz"
1292,Neyse pek dertlendim birden gideyim de bir sigara yakayým.,"uzgun"
1293,Mükemmel bir sýnýf arkadaþýmýz olduðunu farkettik bugün harika hissediyorum,"mutlu"
1294,"Moralim bozuk gibi deðilde… Böyle çürümüþ gibi, Küflenmiþ gibi, Ýçine edilmiþ gibi...","uzgun"
1295,Bu falýmda kabaran þeyler çýkmadý resmen þaþýrdým.,"surpriz"
1296,Sonun da yüklenmiþ alt yazýlý yaþasýn dizimag,"mutlu"
1297,Çok mutsuz ve bok gibi olduðum için uyuyamadým sürekli bir þeyler yazmak istiyorum burasý klozet gibi bir yer ,"uzgun"
1298,Dün sadece korku filmlerinden bahsettik diye bile bütün gece kabus gördüm.,"korku"
1299,"Küfür eden kýzlara itici diyenlere anlam veremiyorum, sinirlenince napsýnlar örgü mü örsünler amk","kizgin"
1300,"Amca ne korna çalýyon vur geç , ödüm koptu zaten .","korku"
1301,Öyle insanlar tanýdým ki canýmdan bezdim buna inanýn.,"uzgun"
1302,Ben teen wolfu özledim aðlayacaðým þimdi,"uzgun"
1303,Esmoþ her türlü entrikaya raðmen güzeldi ,"mutlu"
1304,44 mürettebatý bulunan Arjantin denizaltýsýndan 4 gündür haber alýnamýyormuþ. Öldülerse korkunç bir ölüm bu.,"korku"
1305,Dünkü yakýþýklý çocuk beni nasýl bulmuþ þoktayým,"surpriz"
1306,Tükenmiþlik sendromuna yeni boyutlar getirecek kadar tükendim.,"uzgun"
1307,Lan günün 16 saati sinirliyim kalan 8 saatte de uyuyorum zaten,"kizgin"
1308,"Dalgýn dalgýn yürürken ani fren sesine irkildim, þöfor hemen inip hatalý olduðunu söyledi ve özür diledi ben utandým.","korku"
1309,Dönemin ilk alarmýna uyandým. Mutsuzum,"uzgun"
1310,Yarýsý da menopoz da saklý ben gidiyorum ürktüm,"korku"
1311,Hayatýmdaki güzel insanlar için teþekkür ederim Allah'ým kaktüsün üstündeki çiçekler gibiler,"mutlu"
1312,Ben bile þok oldum yaptýðým þeye skkskddjdj Beynime iþliyorsun kýzým ya,"surpriz"
1313,Mesaj atýnca sinirden küplere bindim,"kizgin"
1314,Çok kötüyüm kankalarýmdan bir tanesi Ýtalya’ya bir tanesi askere gidiyor ne oluyor,"uzgun"
1315,Yurtdýþýna gitmek için biriktirdiðim binlerce lirayý abimin niþaný için harcamýþlar bir de yeni haberim oluyor ne tarafa yýkýlacaðýmý þaþýrdým,"surpriz"
1316,Helal olsun gerçekten sürpriz oldu beklemiyorduk ,"surpriz"
1317,Nankörlük seviyen endiþe verici boyutlara ulaþtý,"korku"
1318,Ailem yine ben uyanmadan kahvaltý etmiþ aç ve öfkeliyim þu an,"kizgin"
1319,Iþte bu yüzden bu tiplerden nefret ediyorum. ROK'NNroll baybii,"kizgin"
1320,Stalk çok þaþýrtýcý bir olay eninde sonunda dönüp dolaþýp baþladýðým profilde buluyorum kendimi,"surpriz"
1321,Bugün sabah gittim birisinden bahsetti o iþten çýktý dediler bende bi o mu diye endiþelendim,"korku"
1322,baya bi sürpriz olmuþ kimsenin haberi yok galiba ,"surpriz"
1323,Hayat artýk beni diskalifiye et gözünü seveyim tükendim,"uzgun"
1324,Sabahýn altýsýnda uyanmak zorunda kaldým çok öfkeliyim ve uykulu,"kizgin"
1325,1997 yýlýnda bir hastalýk geçirmiþtim Samatya SSK'da yatmam gerekti vallahi kaçtým hastaneden yatmadan. O kadar korkunçtu ki.,"korku"
1326,Düzen takýntýnýz varsa bu fotoðraflar yüksek derecede sinir bozucu ,"kizgin"
1327,Fernandinho öyle bir gol attý ki ben kartalda dondum kaldým,"surpriz"
1328,"Yuh! Okuyunca hayret ettim! Hadi resim öyle diyelim, videolarda mý yalan. Þaþýlasý.. hakikaten..","surpriz"
1329,Beni annesiz býrakan lanet hastalýk senden nefret ediyorum,"kizgin"
1330,Þu an içimden baðýrmak geldi yeminle,"kizgin"
1331,Van depremi gibi sallantýlar ayný düzlemde mi? Ne ara bu kadar yardým ayarlandý da gönderildi. Maþallah... hayret ettim bak.,"surpriz"
